0,0.034,0.092,0.138,0.230,0.046,0.069,0.050505,0.069,0.13315,0.13774,0.06887,0.1836547,0.3213957 
0,0,0.046,0,0.184,0.023,0.115,0.087236,0.046,0.01882,0.09183,0.20661,0.6427915,1.05601469
0,0,0.023,0,0.092,0,0.092,0.06887,0.115,0.00688,0.22957,0.252525,0.758053, 1.28558
0,0,0.023,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.2296,0.09183,0,0.017,0,0,0.09183,0,0,0
0,1.0,1.0,2.5,6.0,2.0,2.5,2.5,0.2,0.2,1.0,1.0,2.3,3.0
0,3500,3000,1500,2000,2000,1750,1750,2000,2500,2000,1500,1500,1500
0,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500
0,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500
0,0.12,0.15,0.25,0.20,0.20,0.25,0.40,0.30,0.25,0.25,0.15,0.20,0.25
