1720792.2734111|5511055.7695832||150
1720292.2734111|5510555.7695832||150
1720292.2734111|5510635.7695832||150
1720292.2734111|5510715.7695832||150
1720292.2734111|5510795.7695832||150
1720292.2734111|5510875.7695832||150
1720292.2734111|5510955.7695832||150
1720292.2734111|5511035.7695832||150
1720292.2734111|5511115.7695832||150
1720292.2734111|5511195.7695832||150
1720292.2734111|5511275.7695832||150
1720292.2734111|5511355.7695832||150
1720292.2734111|5511435.7695832||150
1720292.2734111|5511515.7695832||150
1720292.2734111|5511595.7695832||150
1720292.2734111|5511675.7695832||149.685478775458
1720292.2734111|5511755.7695832||150
1720292.2734111|5511835.7695832||150
1720292.2734111|5511915.7695832||150
1720292.2734111|5511995.7695832||150
1720292.2734111|5512075.7695832||137.780153458075
1720292.2734111|5512155.7695832||136.027258408026
1720292.2734111|5512235.7695832||136.027258408026
1720292.2734111|5512315.7695832||147.058814087347
1720292.2734111|5512395.7695832||147.412902588324
1720292.2734111|5512475.7695832||150
1720372.2734111|5510555.7695832||150
1720372.2734111|5510635.7695832||150
1720372.2734111|5510715.7695832||150
1720372.2734111|5510795.7695832||150
1720372.2734111|5510875.7695832||150
1720372.2734111|5510955.7695832||150
1720372.2734111|5511035.7695832||150
1720372.2734111|5511115.7695832||150
1720372.2734111|5511195.7695832||150
1720372.2734111|5511275.7695832||150
1720372.2734111|5511355.7695832||150
1720372.2734111|5511435.7695832||150
1720372.2734111|5511515.7695832||149.708789902167
1720372.2734111|5511595.7695832||145.958545822577
1720372.2734111|5511675.7695832||150
1720372.2734111|5511755.7695832||150
1720372.2734111|5511835.7695832||150
1720372.2734111|5511915.7695832||150
1720372.2734111|5511995.7695832||150
1720372.2734111|5512075.7695832||143.962485443549
1720372.2734111|5512155.7695832||132.940586151556
1720372.2734111|5512235.7695832||132.940586151556
1720372.2734111|5512315.7695832||138.110665192084
1720372.2734111|5512395.7695832||150
1720372.2734111|5512475.7695832||150
1720452.2734111|5510555.7695832||150
1720452.2734111|5510635.7695832||150
1720452.2734111|5510715.7695832||150
1720452.2734111|5510795.7695832||150
1720452.2734111|5510875.7695832||150
1720452.2734111|5510955.7695832||150
1720452.2734111|5511035.7695832||150
1720452.2734111|5511115.7695832||150
1720452.2734111|5511195.7695832||150
1720452.2734111|5511275.7695832||150
1720452.2734111|5511355.7695832||150
1720452.2734111|5511435.7695832||150
1720452.2734111|5511515.7695832||149.708789902167
1720452.2734111|5511595.7695832||145.958545822577
1720452.2734111|5511675.7695832||150
1720452.2734111|5511755.7695832||150
1720452.2734111|5511835.7695832||150
1720452.2734111|5511915.7695832||150
1720452.2734111|5511995.7695832||150
1720452.2734111|5512075.7695832||143.962485443549
1720452.2734111|5512155.7695832||132.940586151556
1720452.2734111|5512235.7695832||132.940586151556
1720452.2734111|5512315.7695832||138.110665192084
1720452.2734111|5512395.7695832||150
1720452.2734111|5512475.7695832||150
1720532.2734111|5510555.7695832||150
